Q1_Age_Group,Q2_Gender,Q3_Nationality,Q4_Area,Q5_Income,Q6_Language,Q7_Purchase_Frequency,Q8_Monthly_Spend,Q9_Channels,Q10_Channel_Reason,Q11_Brand_Loyalty,Q12_Switching_Triggers,Q13_Price_Premium,Q14_Product_Categories,Q15_Halal_Certified,Q15_Natural_Organic,Q15_Free_From_Chemicals,Q15_Dermatologist_Tested,Q15_Vegan_Cruelty_Free,Q15_Arabian_Heritage,Q16_Product_Format,Q17_Festival_Triggers,Q18_Gift_Purchases,Q19_Cultural_Values,Q20_Discovery_Methods,Q21_Influencer_Impact,Q22_AI_Tool_Interest,Q23_Discount_Type,Q24_Loyalty_Programme,Q25_Brand_Interest
25-34,Male,"Western Expat (European, American, Australian)",Jumeirah / Umm Suqeim,"35,001-50,000",English,Every 2 weeks,Above 700,"Subscription boxes; Online marketplaces (Amazon.ae, Noon); Duty-free shops",Loyalty rewards / cashback,Low loyalty,Lower price / better value; Availability in my preferred store,11-25% more,Body care; Haircare; Fragrance / perfume / oud; Oral care,Essential,Somewhat Important,Somewhat Important,Very Important,Essential,Somewhat Important,Multi-use / hybrid products,Eid al-Adha,Never,Scientific efficacy; Environmental sustainability,Instagram; TikTok,Very strongly,Unsure,Bundle deal,Likely,Interested
55+,Male,"Other Arab (Egyptian, Lebanese, Jordanian, etc.)",Silicon Oasis / Academic City / Sports City,Prefer not to say,Arabic,Rarely / Only when needed,Below 50,"Online marketplaces (Amazon.ae, Noon); Baqala / convenience stores",Convenience / delivery speed,Somewhat loyal,Superior ingredients / formulation; Personalised products,11-25% more,Face skincare; Body care; Fragrance / perfume / oud,Somewhat Important,Somewhat Important,Essential,Very Important,Somewhat Important,Essential,Multi-use / hybrid products,Christmas / New Year; Dubai Shopping Festival (DSF / DSS),"Yes, occasionally (2-4 times/year)",Religious compliance (halal); Social image and status,Friends / family; Celebrity endorsements,Not at all,Probably,"Percentage discount (e.g., 20% off)",Very likely,Very interested
35-44,Male,"East Asian (Chinese, Korean, Japanese)",Deira / Bur Dubai / Al Karama,"Above 50,000",English,Every 2-3 months,401-700,"Pharmacies (BinSina, Aster, Life Pharmacy); Beauty specialist stores (Sephora, Faces, MAC); Online marketplaces (Amazon.ae, Noon)",Exclusive products not available elsewhere,Very loyal,Superior ingredients / formulation; Halal / clean / organic certification,26-50% more,Body care; Haircare; Men's grooming; Oral care; Personal hygiene,Very Important,Somewhat Important,Essential,Very Important,Very Important,Very Important,Sheet masks / single-use treatments; Serum / oil-based concentrate,Christmas / New Year; Dubai Shopping Festival (DSF / DSS); None - consistent spending,Rarely (once a year or less),Scientific efficacy,Instagram; TikTok,Moderately,Unsure,Free sample / trial size,Very likely,Not very interested
25-34,Female,"Other Arab (Egyptian, Lebanese, Jordanian, etc.)",Silicon Oasis / Academic City / Sports City,"20,001-35,000",Arabic,Monthly,50-100,"Beauty specialist stores (Sephora, Faces, MAC); Online marketplaces (Amazon.ae, Noon); Brand websites / D2C apps",Exclusive products not available elsewhere,Low loyalty,Superior ingredients / formulation,11-25% more,Face skincare; Body care,Essential,Not Important,Very Important,Somewhat Important,Very Important,Very Important,Spray / mist; Sheet masks / single-use treatments,Ramadan / Eid al-Fitr; Christmas / New Year,"Yes, occasionally (2-4 times/year)",Health and wellness,Subscription boxes,Slightly,Unsure,Free sample / trial size,Likely,Very interested
18-24,Male,"South Asian (Indian, Pakistani, Bangladeshi, Sri Lankan)",Downtown / Business Bay / DIFC,"10,001-20,000",Hindi / Urdu,Monthly,401-700,"Beauty specialist stores (Sephora, Faces, MAC); Pharmacies (BinSina, Aster, Life Pharmacy); Online marketplaces (Amazon.ae, Noon)",Ability to test / try before buying,Neutral,Superior ingredients / formulation,Up to 10% more,Body care; Haircare; Men's grooming; Personal hygiene,Very Important,Very Important,Somewhat Important,Somewhat Important,Somewhat Important,Not Important,Serum / oil-based concentrate,Eid al-Adha,"Yes, occasionally (2-4 times/year)",Religious compliance (halal); Environmental sustainability,In-store browsing; Google search / blogs,Moderately,Probably,Bundle deal,Likely,Interested
18-24,Male,"East Asian (Chinese, Korean, Japanese)",Downtown / Business Bay / DIFC,"10,001-20,000",Mandarin / Other Asian language,Every 2-3 months,101-200,"Online marketplaces (Amazon.ae, Noon)",Best prices / discounts,Very loyal,Lower price / better value; Superior ingredients / formulation,Up to 10% more,Face skincare; Body care; Haircare; Men's grooming; Personal hygiene,Somewhat Important,Essential,Somewhat Important,Very Important,Essential,Somewhat Important,Serum / oil-based concentrate,Diwali; Wedding season / family events; None - consistent spending,Rarely (once a year or less),Scientific efficacy,TikTok; Friends / family,Very strongly,No,Free shipping,Unlikely,Not very interested
25-34,Male,"Other Arab (Egyptian, Lebanese, Jordanian, etc.)",Other,"10,001-20,000",Arabic,Monthly,101-200,"Beauty specialist stores (Sephora, Faces, MAC); Subscription boxes",Widest product range,Neutral,Recommendation from a friend or influencer; Attractive packaging / brand story,More than 50% more,Fragrance / perfume / oud; Oral care; Personal hygiene,Very Important,Somewhat Important,Somewhat Important,Somewhat Important,Very Important,Essential,Lightweight gel / water-based; Multi-use / hybrid products,Eid al-Adha; Christmas / New Year,Rarely (once a year or less),Religious compliance (halal); Heritage and tradition,YouTube; Friends / family,Moderately,Unsure,Buy-one-get-one-free (BOGO),Likely,Interested
25-34,Female,"South Asian (Indian, Pakistani, Bangladeshi, Sri Lankan)",Deira / Bur Dubai / Al Karama,"10,001-20,000",English,Monthly,101-200,"Beauty specialist stores (Sephora, Faces, MAC); Online marketplaces (Amazon.ae, Noon); Baqala / convenience stores",Widest product range,Neutral,Availability in my preferred store,Up to 10% more,Face skincare; Oral care,Somewhat Important,Not Important,Very Important,Somewhat Important,Essential,Not Important,Lightweight gel / water-based; Rich cream / butter-based,Dubai Shopping Festival (DSF / DSS),Rarely (once a year or less),Social image and status,Friends / family,Moderately,"Yes, definitely",Bundle deal,Likely,Neutral
45-54,Female,"Other Arab (Egyptian, Lebanese, Jordanian, etc.)",Deira / Bur Dubai / Al Karama,"20,001-35,000",English,Every 2 weeks,201-400,"Online marketplaces (Amazon.ae, Noon); Beauty specialist stores (Sephora, Faces, MAC); Brand websites / D2C apps",Trusted recommendations / expert staff,Neutral,Attractive packaging / brand story,Up to 10% more,Face skincare; Haircare; Oral care,Essential,Somewhat Important,Very Important,Not Important,Somewhat Important,Somewhat Important,Lightweight gel / water-based,None - consistent spending,Never,Health and wellness; Heritage and tradition,Instagram,Not at all,No,"Percentage discount (e.g., 20% off)",Neutral,Not very interested
25-34,Male,"South Asian (Indian, Pakistani, Bangladeshi, Sri Lankan)",Deira / Bur Dubai / Al Karama,"20,001-35,000",Hindi / Urdu,Monthly,401-700,"Pharmacies (BinSina, Aster, Life Pharmacy); Subscription boxes",Convenience / delivery speed,Somewhat loyal,Availability in my preferred store; Personalised products,0% - would not pay more,Body care; Haircare; Fragrance / perfume / oud; Colour cosmetics / makeup,Somewhat Important,Not Important,Somewhat Important,Very Important,Somewhat Important,Somewhat Important,Lightweight gel / water-based; Serum / oil-based concentrate,Diwali; Christmas / New Year; Dubai Shopping Festival (DSF / DSS),Rarely (once a year or less),Environmental sustainability; Health and wellness,Instagram; TikTok; In-store browsing,Slightly,Probably,Buy-one-get-one-free (BOGO),Likely,Neutral
25-34,Female,"East Asian (Chinese, Korean, Japanese)",Dubai Marina / JBR / JLT,"35,001-50,000",Mandarin / Other Asian language,Weekly,201-400,"Online marketplaces (Amazon.ae, Noon); Pharmacies (BinSina, Aster, Life Pharmacy); Beauty specialist stores (Sephora, Faces, MAC)",Convenience / delivery speed,Somewhat loyal,Lower price / better value; Personalised products,11-25% more,Face skincare; Haircare; Fragrance / perfume / oud; Colour cosmetics / makeup,Essential,Very Important,Essential,Somewhat Important,Very Important,Somewhat Important,Sheet masks / single-use treatments,Wedding season / family events,Rarely (once a year or less),Social image and status,In-store browsing,Moderately,Probably,Bundle deal,Neutral,Neutral
18-24,Male,Emirati,Al Barsha / Discovery Gardens / JVC,"35,001-50,000",Arabic,Every 2 weeks,201-400,"Hypermarkets (Carrefour, Lulu, Spinneys)",Best prices / discounts,No loyalty,Personalised products,26-50% more,Body care; Haircare; Fragrance / perfume / oud,Essential,Very Important,Somewhat Important,Somewhat Important,Very Important,Somewhat Important,Lightweight gel / water-based,Eid al-Adha; Wedding season / family events,Never,Religious compliance (halal); Health and wellness,Google search / blogs; Subscription boxes,Slightly,"Yes, definitely",Buy-one-get-one-free (BOGO),Very likely,Interested
45-54,Female,"Western Expat (European, American, Australian)",Downtown / Business Bay / DIFC,"35,001-50,000",English,Monthly,Above 700,"Hypermarkets (Carrefour, Lulu, Spinneys); Baqala / convenience stores",Convenience / delivery speed,Neutral,Personalised products,11-25% more,Face skincare; Personal hygiene,Very Important,Somewhat Important,Essential,Essential,Somewhat Important,Very Important,Lightweight gel / water-based,Ramadan / Eid al-Fitr,"Yes, frequently (5+ times/year)",Religious compliance (halal); Scientific efficacy,Friends / family; In-store browsing; YouTube,Slightly,"Yes, definitely",Bundle deal,Very likely,Very interested
35-44,Male,"South Asian (Indian, Pakistani, Bangladeshi, Sri Lankan)",Deira / Bur Dubai / Al Karama,"5,000-10,000",English,Rarely / Only when needed,401-700,Brand websites / D2C apps; Duty-free shops,Best prices / discounts,Somewhat loyal,Recommendation from a friend or influencer,11-25% more,Face skincare; Haircare; Fragrance / perfume / oud,Essential,Somewhat Important,Not Important,Very Important,Very Important,Essential,Spray / mist; Sheet masks / single-use treatments,Ramadan / Eid al-Fitr; Eid al-Adha,Rarely (once a year or less),Environmental sustainability; Health and wellness,YouTube,Slightly,No,Free sample / trial size,Likely,Not very interested
18-24,Female,Emirati,Deira / Bur Dubai / Al Karama,"20,001-35,000",Arabic,Every 2 weeks,Below 50,"Hypermarkets (Carrefour, Lulu, Spinneys); Pharmacies (BinSina, Aster, Life Pharmacy); Duty-free shops",Loyalty rewards / cashback,Neutral,Lower price / better value,11-25% more,Face skincare; Body care; Haircare; Fragrance / perfume / oud; Colour cosmetics / makeup,Essential,Not Important,Very Important,Somewhat Important,Essential,Somewhat Important,Serum / oil-based concentrate,Ramadan / Eid al-Fitr,"Yes, frequently (5+ times/year)",Scientific efficacy; Social image and status,TikTok; In-store browsing,Moderately,Probably,Free sample / trial size,Neutral,Neutral
35-44,Male,Other,Mirdif / Al Warqa / Rashidiya,"5,000-10,000",English,Monthly,101-200,"Hypermarkets (Carrefour, Lulu, Spinneys); Online marketplaces (Amazon.ae, Noon)",Best prices / discounts,Very loyal,Lower price / better value,0% - would not pay more,Face skincare; Body care; Haircare; Men's grooming; Personal hygiene,Somewhat Important,Essential,Essential,Essential,Somewhat Important,Somewhat Important,Serum / oil-based concentrate; Spray / mist,Diwali; Valentine's Day / Mother's Day; Wedding season / family events,"Yes, occasionally (2-4 times/year)",Environmental sustainability,Instagram; TikTok; Friends / family,Moderately,"Yes, definitely",Buy-one-get-one-free (BOGO),Likely,Neutral
25-34,Male,"Western Expat (European, American, Australian)",Deira / Bur Dubai / Al Karama,"Above 50,000",English,Every 2 weeks,401-700,"Online marketplaces (Amazon.ae, Noon); Subscription boxes; Pharmacies (BinSina, Aster, Life Pharmacy)",Trusted recommendations / expert staff,Somewhat loyal,Superior ingredients / formulation,26-50% more,Face skincare; Body care; Haircare; Fragrance / perfume / oud; Men's grooming; Personal hygiene,Very Important,Very Important,Very Important,Very Important,Very Important,Somewhat Important,Serum / oil-based concentrate,Ramadan / Eid al-Fitr,Never,Environmental sustainability; Health and wellness,Instagram; Google search / blogs; Subscription boxes,Moderately,No,"Percentage discount (e.g., 20% off)",Very likely,Interested
18-24,Male,"South Asian (Indian, Pakistani, Bangladeshi, Sri Lankan)",Downtown / Business Bay / DIFC,"Below 5,000",English,Monthly,50-100,"Hypermarkets (Carrefour, Lulu, Spinneys); Beauty specialist stores (Sephora, Faces, MAC); Online marketplaces (Amazon.ae, Noon)",Trusted recommendations / expert staff,Somewhat loyal,Halal / clean / organic certification,Up to 10% more,Face skincare; Body care; Haircare; Fragrance / perfume / oud; Men's grooming; Personal hygiene,Essential,Not Important,Very Important,Very Important,Very Important,Essential,Lightweight gel / water-based,Diwali; Dubai Shopping Festival (DSF / DSS),"Yes, occasionally (2-4 times/year)",Environmental sustainability; Scientific efficacy,Instagram,Moderately,Probably,Loyalty points,Likely,Not very interested
25-34,Female,"South Asian (Indian, Pakistani, Bangladeshi, Sri Lankan)",Deira / Bur Dubai / Al Karama,"20,001-35,000",English,Monthly,201-400,"Hypermarkets (Carrefour, Lulu, Spinneys); Online marketplaces (Amazon.ae, Noon); Beauty specialist stores (Sephora, Faces, MAC)",Convenience / delivery speed,Neutral,Recommendation from a friend or influencer; Attractive packaging / brand story,26-50% more,Body care; Haircare; Colour cosmetics / makeup; Personal hygiene,Very Important,Somewhat Important,Very Important,Very Important,Somewhat Important,Not Important,Lightweight gel / water-based; Multi-use / hybrid products,Diwali; Christmas / New Year; Wedding season / family events,Rarely (once a year or less),Scientific efficacy,Instagram; Google search / blogs,Moderately,Probably,Bundle deal,Neutral,Interested
25-34,Male,"South Asian (Indian, Pakistani, Bangladeshi, Sri Lankan)",Downtown / Business Bay / DIFC,"5,000-10,000",English,Every 2-3 months,50-100,"Hypermarkets (Carrefour, Lulu, Spinneys); Baqala / convenience stores",Best prices / discounts,Neutral,Halal / clean / organic certification,26-50% more,Face skincare; Men's grooming; Personal hygiene,Somewhat Important,Somewhat Important,Very Important,Very Important,Somewhat Important,Somewhat Important,Sheet masks / single-use treatments,None - consistent spending,"Yes, occasionally (2-4 times/year)",Social image and status,YouTube; TikTok; Google search / blogs,Very strongly,Probably,Buy-one-get-one-free (BOGO),Neutral,Not interested at all
18-24,Female,Filipino,Dubai Marina / JBR / JLT,"10,001-20,000",English,Every 2 weeks,Above 700,"Online marketplaces (Amazon.ae, Noon); Beauty specialist stores (Sephora, Faces, MAC); Duty-free shops",Exclusive products not available elsewhere,Low loyalty,Superior ingredients / formulation; Personalised products,11-25% more,Body care; Personal hygiene,Not Important,Somewhat Important,Very Important,Somewhat Important,Essential,Not Important,Multi-use / hybrid products,Dubai Shopping Festival (DSF / DSS); Valentine's Day / Mother's Day,"Yes, occasionally (2-4 times/year)",Heritage and tradition; Scientific efficacy,TikTok; In-store browsing,Very strongly,"Yes, definitely","Percentage discount (e.g., 20% off)",Very unlikely,Neutral
55+,Male,"Western Expat (European, American, Australian)",Downtown / Business Bay / DIFC,"Above 50,000",English,Monthly,201-400,"Hypermarkets (Carrefour, Lulu, Spinneys); Duty-free shops",Trusted recommendations / expert staff,Somewhat loyal,Attractive packaging / brand story,26-50% more,Face skincare; Body care; Haircare; Fragrance / perfume / oud; Men's grooming; Oral care; Personal hygiene,Essential,Essential,Essential,Somewhat Important,Essential,Somewhat Important,Serum / oil-based concentrate,Ramadan / Eid al-Fitr; Christmas / New Year; Dubai Shopping Festival (DSF / DSS),"Yes, occasionally (2-4 times/year)",Health and wellness,Instagram; Celebrity endorsements; YouTube,Very strongly,"Yes, definitely","Percentage discount (e.g., 20% off)",Likely,Interested
